timestamp,cpm,minute
2026-03-22_20-00-20,27,344
2026-03-22_20-01-22,21,345
2026-03-22_20-02-24,20,346
2026-03-22_20-04-15,22,347
2026-03-22_20-05-17,23,348
2026-03-22_20-06-19,24,349
2026-03-22_20-07-20,15,350
2026-03-22_20-08-22,20,351
2026-03-22_20-09-24,24,352
2026-03-22_20-10-26,29,353
2026-03-22_20-11-28,35,354
2026-03-22_20-12-30,20,355
2026-03-22_20-13-32,22,356
2026-03-22_20-14-34,17,357
2026-03-22_20-15-36,27,358
2026-03-22_20-16-38,28,359
2026-03-22_20-17-40,19,360
2026-03-22_20-18-42,27,361
2026-03-22_20-19-44,23,362
2026-03-22_20-20-46,29,363
2026-03-22_20-21-48,28,364
2026-03-22_20-22-50,26,365
2026-03-22_20-23-52,19,366
2026-03-22_20-24-54,24,367
2026-03-22_20-25-56,22,368
2026-03-22_20-26-58,28,369
2026-03-22_20-28-00,18,370
2026-03-22_20-29-02,22,371
2026-03-22_20-30-04,15,372
2026-03-22_20-31-08,19,373
2026-03-22_20-32-10,17,374
2026-03-22_20-33-12,20,375
2026-03-22_20-34-14,25,376
2026-03-22_20-35-16,23,377
2026-03-22_20-36-18,23,378
2026-03-22_20-37-20,24,379
2026-03-22_20-38-22,23,380
2026-03-22_20-39-24,21,381
2026-03-22_20-40-26,27,382
2026-03-22_20-41-28,17,383
2026-03-22_20-42-30,25,384
2026-03-22_20-43-32,21,385
2026-03-22_20-44-34,21,386
2026-03-22_20-45-36,11,387
2026-03-22_20-46-38,19,388
2026-03-22_20-47-40,22,389
2026-03-22_20-48-42,20,390
2026-03-22_20-49-43,16,391
2026-03-22_20-50-45,29,392
2026-03-22_20-51-47,20,393
2026-03-22_20-52-49,21,394
2026-03-22_20-53-51,13,395
2026-03-22_20-54-53,26,396
2026-03-22_20-55-55,23,397
2026-03-22_20-56-57,14,398
2026-03-22_20-57-59,27,399
2026-03-22_20-59-04,26,400
2026-03-22_21-00-06,15,401
2026-03-22_21-01-08,15,402
2026-03-22_21-02-10,18,403
2026-03-22_21-03-12,12,404
2026-03-22_21-04-15,15,405
2026-03-22_21-05-17,10,406
2026-03-22_21-06-19,20,407
2026-03-22_21-07-21,30,408
2026-03-22_21-08-23,30,409
2026-03-22_21-09-25,29,410
2026-03-22_21-10-27,8,411
2026-03-22_21-11-30,14,412
2026-03-22_21-12-31,20,413
2026-03-22_21-13-33,18,414
2026-03-22_21-14-35,21,415
2026-03-22_21-15-38,9,416
2026-03-22_21-16-39,21,417
2026-03-22_21-17-41,15,418
2026-03-22_21-18-43,22,419
2026-03-22_21-19-45,26,420
2026-03-22_21-20-47,23,421
2026-03-22_21-21-49,23,422
2026-03-22_21-22-51,23,423
2026-03-22_21-23-53,24,424
2026-03-22_21-24-55,18,425
2026-03-22_21-25-57,18,426
2026-03-22_21-26-59,25,427
2026-03-22_21-28-01,20,428
2026-03-22_21-29-03,12,429
2026-03-22_21-30-05,12,430
2026-03-22_21-31-07,13,431
2026-03-22_21-32-09,20,432
2026-03-22_21-33-11,18,433
2026-03-22_21-34-13,21,434
2026-03-22_21-35-15,27,435
2026-03-22_21-36-17,35,436
2026-03-22_21-37-19,28,437
2026-03-22_21-38-21,24,438
2026-03-22_21-39-23,19,439
2026-03-22_21-40-25,20,440
2026-03-22_21-41-27,19,441
2026-03-22_21-42-29,25,442
2026-03-22_21-43-31,23,443
2026-03-22_21-44-32,20,444
2026-03-22_21-45-34,27,445
2026-03-22_21-46-36,22,446
2026-03-22_21-47-38,21,447
2026-03-22_21-48-40,21,448
2026-03-22_21-49-42,23,449
2026-03-22_21-50-44,19,450
2026-03-22_21-51-46,26,451
2026-03-22_21-52-48,23,452
2026-03-22_21-53-51,23,453
2026-03-22_21-54-53,13,454
2026-03-22_21-55-55,22,455
2026-03-22_21-56-57,25,456
2026-03-22_21-57-59,18,457
2026-03-22_21-59-01,14,458
2026-03-22_22-00-03,20,459
2026-03-22_22-01-05,27,460
2026-03-22_22-02-07,26,461
2026-03-22_22-03-09,22,462
